variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
805593,0,826017,,
809456,0,826017,,
813989,1,,,
813990,1,,,
817725,1,,,
817726,0,,,
817727,0,,,
819314,0,832947,,
819332,0,832947,,
819411,0,826017,,
819451,0,826017,,
821409,0,,,
822075,1,,,
823809,0,,,
824134,0,832947,,
824704,1,,,
824706,0,,,
825608,0,,,
825610,0,,,
826015,1,,,
826017,1,,,
826027,0,,,
826155,0,,,
826263,0,832947,,
826266,0,,,
826276,0,832947,,
826277,0,832947,,
826280,0,826017,,
826281,0,826017,,
826312,0,832947,,
826342,0,,,
826357,0,,,
826439,0,826017,,
826449,0,832947,,
826536,0,832947,,
826585,0,,,
826657,0,832947,,
826687,0,,,
826907,0,826017,,
827212,0,,,
827213,0,,,
827774,0,826017,,
827792,1,,,
827793,1,,,
827796,1,,,
827797,1,,,
827833,0,,,
827837,0,826017,,
827861,0,826017,,
827866,0,,,
827885,0,,,
828289,0,,,
828290,0,,,
828295,0,,,
828296,0,,,
828297,0,,,
828298,0,,,
828300,0,,,
828301,0,,,
828367,0,,,
828446,0,826017,,
828447,0,,,
828508,0,826017,,
828511,0,832947,,
828663,0,,,
828723,1,,,
828833,1,,,
828835,1,,,
828839,1,,,
828886,0,,,
828888,0,,,
828889,0,,,
828890,0,,,
828895,0,,,
828896,0,,,
828897,0,,,
828898,0,,,
828899,0,,,
828903,0,,,
828905,0,,,
828906,0,,,
828929,0,,,
828931,0,,,
828934,0,,,
828938,0,,,
828939,0,,,
828948,0,,,
829014,1,,,
829023,0,826017,,
829027,0,,,
829028,0,832947,,
829035,0,826017,,
829036,0,,,
829042,0,832947,,
829043,0,826017,,
829046,0,,,
829050,0,,,
829051,0,826017,,
829053,0,,,
829061,0,832947,,
829067,1,,,
829069,0,,,
829073,0,,,
829078,1,,,
829079,1,,,
829080,1,,,
829081,1,,,
829098,0,,,
829100,0,,,
829101,0,,,
829103,0,,,
829104,0,,,
829106,0,,,
829107,0,,,
829108,0,,,
829109,0,,,
829110,0,,,
829111,0,,,
829115,0,,,
829116,0,,,
829117,0,,,
829119,0,,,
829122,0,,,
829179,1,,,
829184,0,,,
829190,1,,,
829191,1,,,
829200,0,,,
829244,0,,,
829245,0,,,
829247,0,,,
829330,0,832947,,
829331,0,832947,,
829340,0,832947,,
829350,0,826017,,
829351,0,826017,,
829356,0,,,
829357,0,,,
829359,0,,,
829361,0,,,
829370,0,832947,,
829378,0,826017,,
829419,0,832947,,
829492,1,,,
829512,0,,,
829539,0,832947,,
829559,0,,,
829711,0,,,
829713,0,,,
829752,1,,,
829762,1,,,
829765,1,,,
829773,1,,,
829805,0,832947,,
829828,0,,,
829864,0,,,
829869,0,,,
829871,0,,,
829876,0,,,
829879,0,,,
829903,0,,,
829928,0,,,
829942,0,,,
829943,0,,,
829968,1,,,
829970,1,,,
830170,1,,,
830174,1,,,
830202,0,826017,,
830208,0,826017,,
830209,0,826017,,
830268,0,,,
830269,0,826017,,
830270,0,826017,,
830285,0,826017,,
830292,0,,,
830336,1,,,
830345,0,832947,,
830361,0,826017,,
830370,0,832947,,
830446,1,,,
830447,1,,,
830462,0,,,
830542,0,,,
830543,0,,,
830592,0,832947,,
830704,0,,,
830706,0,,,
830734,0,832947,,
830736,0,832947,,
830737,0,832947,,
830741,0,826017,,
830781,0,,,
830782,0,,,
830784,0,,,
830926,1,,,
830950,0,,,
830954,0,832947,,
830971,0,,,
830996,0,832947,,
831014,0,,,
831016,0,,,
831070,1,,,
831151,0,,,
831155,1,,,
831176,0,,,
